	GEOID	Tot	M_Tot	M_65and66	M_67to69	M_70to74	M_75to79	M_80to84	M_85plus	F_Tot	F_65and66	F_67to69	F_70to74	F_75to79	F_80to84	F_85plus	id	Geographic	ObjectID	M_elder	F_elder	M_F_elder	Shape_Leng	Shape_Area
0	60750604001	1596.0	676.0	38.0	26.0	30.0	19.0	9.0	52.0	920.0	25.0	38.0	71.0	48.0	119.0	75.0	1500000US060750604001	Block Group 1, Census Tract 604, San Francisco County, California	552	174.0	376.0	550	0.625040884682	3.77024417835e-05
1	60750354005	1085.0	519.0	30.0	15.0	0.0	82.0	52.0	14.0	566.0	16.0	0.0	68.0	59.0	14.0	61.0	1500000US060750354005	Block Group 5, Census Tract 354, San Francisco County, California	499	193.0	218.0	411	0.0526904862143	1.17316570597e-05
2	60750331003	722.0	389.0	0.0	23.0	8.0	21.0	38.0	23.0	333.0	14.0	28.0	9.0	15.0	0.0	8.0	1500000US060750331003	Block Group 3, Census Tract 331, San Francisco County, California	466	113.0	74.0	187	0.074778450216	1.55887423415e-05
3	60750353004	704.0	519.0	0.0	23.0	21.0	24.0	0.0	0.0	185.0	0.0	22.0	0.0	0.0	0.0	0.0	1500000US060750353004	Block Group 4, Census Tract 353, San Francisco County, California	492	68.0	22.0	90	0.0495042047492	1.13011458117e-05
4	60750354001	1259.0	600.0	0.0	36.0	14.0	0.0	0.0	41.0	659.0	62.0	0.0	14.0	28.0	0.0	31.0	1500000US060750354001	Block Group 1, Census Tract 354, San Francisco County, California	495	91.0	135.0	226	0.0675545106321	4.22346395353e-05
5	60750354004	1783.0	852.0	20.0	104.0	19.0	48.0	0.0	22.0	931.0	0.0	19.0	40.0	48.0	48.0	0.0	1500000US060750354004	Block Group 4, Census Tract 354, San Francisco County, California	498	213.0	155.0	368	0.0519518565246	1.69298275173e-05
6	60750354003	1261.0	625.0	1.0	0.0	0.0	16.0	12.0	0.0	636.0	0.0	0.0	27.0	0.0	0.0	17.0	1500000US060750354003	Block Group 3, Census Tract 354, San Francisco County, California	497	29.0	44.0	73	0.0634968225548	1.11530157417e-05
7	60750353005	1533.0	821.0	0.0	0.0	40.0	50.0	19.0	0.0	712.0	0.0	39.0	86.0	17.0	0.0	0.0	1500000US060750353005	Block Group 5, Census Tract 353, San Francisco County, California	493	109.0	142.0	251	0.049287247401	1.220833547e-05
8	60750353003	1279.0	565.0	20.0	97.0	25.0	33.0	7.0	22.0	714.0	43.0	53.0	6.0	69.0	0.0	56.0	1500000US060750353003	Block Group 3, Census Tract 353, San Francisco County, California	491	204.0	227.0	431	0.0740868287073	1.37331866224e-05
9	60750353002	1700.0	760.0	20.0	0.0	0.0	12.0	0.0	0.0	940.0	0.0	9.0	42.0	0.0	0.0	95.0	1500000US060750353002	Block Group 2, Census Tract 353, San Francisco County, California	490	32.0	146.0	178	0.0664970031065	1.54145878444e-05
10	60750353006	1159.0	455.0	0.0	0.0	40.0	0.0	21.0	30.0	704.0	0.0	26.0	44.0	23.0	49.0	42.0	1500000US060750353006	Block Group 6, Census Tract 353, San Francisco County, California	494	91.0	184.0	275	0.0600870781858	1.43495693571e-05
11	60750354002	1954.0	847.0	0.0	0.0	40.0	46.0	40.0	19.0	1107.0	0.0	66.0	54.0	63.0	0.0	85.0	1500000US060750354002	Block Group 2, Census Tract 354, San Francisco County, California	496	145.0	268.0	413	0.0520330451287	1.69528243319e-05
12	60750353001	1112.0	426.0	20.0	31.0	53.0	21.0	26.0	22.0	686.0	52.0	46.0	0.0	0.0	18.0	22.0	1500000US060750353001	Block Group 1, Census Tract 353, San Francisco County, California	489	173.0	138.0	311	0.0997550252	1.51899013811e-05
13	60750332043	1866.0	894.0	0.0	31.0	53.0	0.0	0.0	16.0	972.0	23.0	12.0	0.0	0.0	0.0	25.0	1500000US060750332043	Block Group 3, Census Tract 332.04, San Francisco County, California	473	100.0	60.0	160	0.042856094154	1.58857976942e-05
14	60750332042	1850.0	1049.0	15.0	0.0	19.0	22.0	28.0	22.0	801.0	8.0	58.0	29.0	9.0	22.0	36.0	1500000US060750332042	Block Group 2, Census Tract 332.04, San Francisco County, California	472	106.0	162.0	268	0.0269328202896	1.29976740555e-06
15	60750332032	1183.0	598.0	13.0	33.0	35.0	6.0	0.0	0.0	585.0	17.0	0.0	34.0	14.0	18.0	8.0	1500000US060750332032	Block Group 2, Census Tract 332.03, San Francisco County, California	470	87.0	91.0	178	0.0354033836531	1.70882846157e-05
16	60750332031	2773.0	1396.0	0.0	62.0	20.0	0.0	7.0	56.0	1377.0	48.0	46.0	24.0	6.0	16.0	9.0	1500000US060750332031	Block Group 1, Census Tract 332.03, San Francisco County, California	469	145.0	149.0	294	0.122748827207	2.34637400722e-05
17	60750332041	982.0	518.0	14.0	0.0	0.0	0.0	0.0	0.0	464.0	0.0	0.0	0.0	0.0	0.0	0.0	1500000US060750332041	Block Group 1, Census Tract 332.04, San Francisco County, California	471	14.0	0.0	14	0.0322630739624	1.12148453013e-05
18	60750309007	746.0	326.0	0.0	0.0	25.0	0.0	0.0	0.0	420.0	0.0	43.0	0.0	0.0	0.0	41.0	1500000US060750309007	Block Group 7, Census Tract 309, San Francisco County, California	406	25.0	84.0	109	0.0697710084108	1.96195690116e-05
19	60750313023	2868.0	1471.0	43.0	9.0	21.0	21.0	9.0	55.0	1397.0	29.0	8.0	88.0	80.0	0.0	0.0	1500000US060750313023	Block Group 3, Census Tract 313.02, San Francisco County, California	426	158.0	205.0	363	0.156389595412	2.53391651638e-05
20	60750262005	1680.0	786.0	13.0	58.0	33.0	8.0	34.0	29.0	894.0	0.0	70.0	12.0	22.0	39.0	63.0	1500000US060750262005	Block Group 5, Census Tract 262, San Francisco County, California	343	175.0	206.0	381	0.157962824378	1.18191139768e-05
