OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
9835,06,075,010100,1400000US06075010100,06075010100,101,San Francisco,CA,Califor,"Census Tract 101, San Francisco County, Californ","3,889.00",303.00,"10,001.00",0.99,0.35,0.99,0.51,0.00,0.45,0.99,0.72,2.16,0.61,0.00,0.75,0.00,0.00,0.00,0.00,0.75,0.38,0.39,0.46,0.00,0.84,0.04,0.00,0.57,0.00,0.57,0.20,0.43,0.43,0.43,4.76,0.21,0.75,0.75,0.75,0.80,0.76,0.42,0.99,0.76,0.19,0.63,4.55,0.73,0.84,0.06,0.97,0.96,2.84,0.97,0.51,0.00,0.51,0.27,8.65,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86,2.07,36.43,0.00,76.64,0.00,0.00,0.00,0.00,100.00,57.96,19.58,0.00,67.94,0.00,36.78,61.00,48.44,17.80,4.20,47.80,35.95,3.20,20.50,22.50,11.00,26.10,20.00,0.80,0.00,25.60,8.40,5.80,11.90,9.90,0.15,0.14,0.31,0.40,0.26,"4,458.06","1,098,347.83"
9836,06,075,010200,1400000US06075010200,06075010200,102,San Francisco,CA,Califor,"Census Tract 102, San Francisco County, Californ","4,167.00",404.00,"4,602.00",0.29,0.03,0.29,0.05,0.00,0.43,0.98,0.71,2.12,0.60,0.00,0.45,0.00,0.00,0.00,0.00,0.45,0.25,0.39,0.87,0.01,1.26,0.23,0.00,0.77,0.00,0.77,0.32,0.33,0.33,0.33,4.94,0.24,0.36,0.36,0.36,0.05,0.05,0.00,0.97,0.17,0.10,0.19,1.52,0.11,0.88,0.03,0.20,0.00,1.12,0.05,0.00,0.38,0.38,0.16,3.39,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,1.84,35.94,0.00,8.80,0.00,0.00,0.00,0.00,100.00,90.08,17.78,0.00,100.00,0.00,23.73,19.30,6.77,1.70,0.00,37.10,17.30,2.10,8.10,23.90,6.10,8.40,0.00,0.00,0.10,21.30,7.80,6.30,9.30,5.40,0.05,0.05,0.41,0.03,0.05,"3,617.55","736,695.13"
9837,06,075,010300,1400000US06075010300,06075010300,103,San Francisco,CA,Califor,"Census Tract 103, San Francisco County, Californ","4,359.00",432.00,"2,744.00",0.57,0.12,0.57,0.19,0.00,0.44,0.98,0.71,2.13,0.60,0.00,0.83,0.00,0.00,0.00,0.00,0.83,0.43,0.39,0.95,0.03,1.37,0.32,0.00,0.77,0.00,0.77,0.32,0.50,0.50,0.50,5.60,0.39,0.61,0.61,0.61,0.21,0.40,0.13,0.95,0.23,0.12,0.30,2.35,0.25,0.61,0.04,0.23,0.87,1.75,0.29,0.00,0.00,0.00,0.00,4.71,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,1.82,36.10,0.00,98.13,0.00,0.00,0.00,0.00,100.00,95.38,16.44,0.00,100.00,0.00,48.56,40.60,16.06,7.80,2.20,34.40,18.77,2.40,11.10,17.50,7.30,8.80,9.90,0.00,0.00,23.60,7.50,5.90,9.60,7.10,0.09,0.03,0.33,0.09,0.06,"2,297.68","269,983.98"
9838,06,075,010400,1400000US06075010400,06075010400,104,San Francisco,CA,Califor,"Census Tract 104, San Francisco County, Californ","4,536.00",489.00,"3,788.00",0.61,0.14,0.61,0.22,0.00,0.45,0.99,0.74,2.18,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.84,0.01,1.23,0.20,0.00,0.54,0.00,0.54,0.19,0.41,0.41,0.41,5.21,0.30,0.58,0.58,0.58,0.16,0.36,0.61,0.95,0.18,0.29,0.39,2.94,0.37,0.36,0.06,0.04,0.69,1.15,0.06,0.48,0.55,1.03,0.68,5.70,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.85,2.12,36.81,0.00,100.00,0.00,0.00,0.00,0.00,100.00,87.67,18.17,0.00,60.67,0.00,34.54,37.10,13.21,7.20,5.70,33.40,17.58,4.40,13.50,13.40,10.70,4.90,3.30,0.60,0.40,22.80,7.40,5.90,9.50,7.00,0.07,0.02,0.33,0.08,0.06,"3,096.38","335,945.60"
9839,06,075,010500,1400000US06075010500,06075010500,105,San Francisco,CA,Califor,"Census Tract 105, San Francisco County, Californ","2,779.00",415.00,"14,324.00",0.76,0.21,0.56,0.18,0.00,0.45,1.00,0.78,2.23,0.63,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.63,0.01,1.02,0.09,0.00,0.56,0.00,0.56,0.20,0.41,0.41,0.41,5.08,0.27,0.68,0.68,0.68,0.36,0.07,0.29,0.99,0.41,0.17,0.25,2.54,0.29,0.95,0.04,0.61,0.67,2.27,0.72,0.00,0.00,0.00,0.00,5.50,0.29,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,8.87,3.42,38.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,72.19,18.08,0.00,65.67,0.00,33.57,50.20,23.03,2.20,3.30,50.70,23.75,3.00,9.70,29.10,8.30,13.90,3.10,0.00,0.00,29.30,7.40,7.90,8.70,9.00,0.34,0.02,0.78,0.28,0.02,"4,733.33","1,034,522.42"
9840,06,075,010600,1400000US06075010600,06075010600,106,San Francisco,CA,Califor,"Census Tract 106, San Francisco County, Californ","3,429.00",256.00,"3,883.00",1.26,0.50,1.06,0.56,0.00,0.44,0.99,0.74,2.17,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.96,0.00,1.35,0.30,0.00,0.59,0.00,0.59,0.21,0.28,0.28,0.28,5.24,0.31,0.77,0.77,0.77,0.60,0.91,0.60,0.99,0.73,0.45,0.91,5.19,0.84,0.79,0.03,0.70,0.98,2.50,0.86,0.00,0.00,0.00,0.00,8.46,0.76,0.00,0.00,0.00,0.00,1.00,1.00,0.20,0.00,8.84,2.07,36.84,0.00,100.00,0.00,0.00,0.00,0.00,100.00,95.74,18.28,0.00,71.93,0.00,16.57,64.60,35.29,28.20,5.60,46.50,34.67,6.30,34.80,20.90,5.50,15.50,27.30,0.00,0.00,29.90,7.80,5.20,11.90,12.60,0.38,0.05,0.21,0.70,0.26,"2,257.84","186,855.10"
9841,06,075,010700,1400000US06075010700,06075010700,107,San Francisco,CA,Califor,"Census Tract 107, San Francisco County, Californ","5,548.00",441.00,"4,107.00",1.67,0.70,1.27,0.71,0.00,0.44,0.98,0.73,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.90,0.01,1.29,0.25,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,5.35,0.33,0.88,0.88,0.88,0.89,0.99,0.81,0.98,0.94,0.33,0.96,5.90,0.95,0.94,0.06,0.63,1.00,2.63,0.92,0.56,0.00,0.56,0.31,9.97,0.94,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.00,8.81,1.91,36.69,0.00,100.00,0.00,0.00,0.00,0.00,100.00,91.75,18.04,0.00,100.00,0.00,16.57,85.30,56.87,48.40,8.40,43.30,50.16,4.80,41.40,27.60,10.50,14.30,53.00,1.30,0.00,38.30,8.20,6.20,13.30,21.00,0.81,0.10,0.39,0.98,0.42,"2,080.00","183,156.74"
9842,06,075,010800,1400000US06075010800,06075010800,108,San Francisco,CA,Califor,"Census Tract 108, San Francisco County, Californ","5,038.00",489.00,"1,454.00",0.76,0.22,0.76,0.32,0.00,0.43,0.98,0.72,2.13,0.60,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.84,0.08,1.30,0.26,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,5.33,0.32,0.71,0.71,0.71,0.36,0.76,0.50,0.96,0.31,0.25,0.21,3.37,0.47,0.88,0.04,0.54,0.91,2.38,0.80,0.00,0.00,0.00,0.00,6.45,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,1.83,36.25,0.00,100.00,0.00,0.00,0.00,0.00,100.00,87.91,15.44,0.00,100.00,0.00,16.57,53.70,23.40,17.80,4.80,37.00,21.08,3.90,8.70,23.70,8.50,13.00,13.60,0.00,0.00,24.20,7.70,5.50,10.60,8.90,0.11,0.04,0.26,0.27,0.13,"1,909.72","226,269.53"
9843,06,075,010900,1400000US06075010900,06075010900,109,San Francisco,CA,Califor,"Census Tract 109, San Francisco County, Californ","4,486.00",327.00,"2,369.00",0.47,0.09,0.47,0.13,0.00,0.42,0.98,0.72,2.12,0.60,0.00,0.69,0.00,0.00,0.00,0.00,0.69,0.36,0.39,0.79,0.01,1.19,0.18,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,5.05,0.26,0.55,0.55,0.55,0.24,0.30,0.01,0.99,0.27,0.04,0.49,2.34,0.25,0.79,0.03,0.36,0.87,2.04,0.53,0.00,0.00,0.00,0.00,4.93,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,1.76,36.32,0.00,60.01,0.00,0.00,0.00,0.00,100.00,84.62,17.50,0.00,100.00,0.00,16.57,34.20,17.28,6.20,0.50,45.10,19.95,1.20,16.10,21.00,4.80,10.50,9.80,0.00,0.00,20.30,7.60,5.40,9.80,6.00,0.04,0.03,0.24,0.04,0.07,"2,027.83","251,137.75"
9844,06,075,011000,1400000US06075011000,06075011000,110,San Francisco,CA,Califor,"Census Tract 110, San Francisco County, Californ","5,127.00",483.00,"2,873.00",0.50,0.10,0.50,0.15,0.00,0.42,0.98,0.71,2.11,0.59,0.00,0.84,0.00,0.00,0.00,0.00,0.84,0.43,0.39,0.63,0.03,1.04,0.10,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,5.04,0.26,0.67,0.67,0.67,0.23,0.67,0.39,0.98,0.36,0.21,0.38,3.22,0.44,0.30,0.02,0.04,0.91,1.28,0.08,0.00,0.00,0.00,0.00,5.16,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.73,1.76,36.09,0.00,99.18,0.00,0.00,0.00,0.00,100.00,72.12,16.72,0.00,100.00,0.00,16.73,48.40,17.05,14.30,4.00,42.60,22.31,3.40,13.10,12.30,4.40,4.80,13.80,0.00,0.00,20.40,7.40,4.40,10.10,7.30,0.04,0.02,0.10,0.10,0.09,"1,990.25","238,501.80"
